global_name,local_name,dice_fields,table_roll,class_fields,class_fields_modifiers,usage_modifier,save_generate,use_generate,counters,reroll
Основная информация:,,,,,,,,,,
,Происхождение:,,,,,,,,,
,1,1,"Случайный. Город никогда не задумывался как нечто большее, чем лагерь или, самое большее, небольшое поселение. Судьба распорядилась так, что все произошло иначе. Посторонние нашли это место, некоторые остались, некоторые ушли и рассказали другим, и со временем все больше и больше приходили, все больше и больше оставались, и место росло.",,,,,,,
,,2,"Указ. Некоторым авторитетом было решено, что здесь нужен город, выделены средства и материалы для его основания, и он был основан.",,,,,,,
,,3,Исход или изгнание. Группа переселенцев покинула (или была вынуждена покинуть) свой дом. Они нашли это место и решили строить.,,,,,,,
,,4,"Ключевой перекресток. Город был основан на перекрестке дорог, посещаемых путешественниками со всего мира.",,,,,,,
,,5,"Военный лагерь. Развертывание длилось дольше, чем предполагалось, поэтому лагерь начал строить более прочные укрепления все более постоянным образом. Либо первоначальные члены лагеря все еще проживают здесь, либо он был занят иным образом после их ухода.",,,,,,,
,,6,"Порт. Город обосновался на воде там, где раньше никто этого не делал, отрастив изношенные причалы и дороги, по которым ходили как торговцы, так и путешественники. (Среда, в которой находится ваш порт, — [d6]: 1-3: побережье 4-6: река.)",,,,,,,
,,7,"Стремительный. Подпитываемые амбициями, сильной волей и, возможно, доступом к определенным превосходным продуктам или ресурсам, группа людей решила создать этот город в важном месте. Свидетели рассказывают, как казалось, что это произошло за одну ночь.",,,,,,,
,,8,"Устойчивый. Построенный по частям с течением времени, этот город был трудом приверженности и преданности. Возможно, потребовались годы или даже десятилетия, прежде чем она достигла результатов, но теперь она стоит такой, какая она есть.",,,,,,,
,Приоритет развития:,,,fortification;law_enforcement;specialty; market_square;place_of_worship_size;commercial_locations,,,,,,
,0_6_6,1,Брони),,,,,,,
,,2,Книг),,,,,,,
,,3,Одежда,,,,,,,
,,4,Ювелирных украшений),,,,,,,
,,5,Оружия),,,,,,,
,,6,всякой всячины),,,,,,,
,1,1,Военный. Город отдает приоритет обороне и правоохранительным органам.,,1;1;0;0;0;0,,,,,
,,2,"Правительство. Город отдает приоритет структуре, порядку и закону. (среди построек есть отдельная дом правительства)",,0;1;0;0;0;0,,,,,
,,3,Производство. Город отдает приоритет производству и перемещению ресурсов.,,0;0;4;0;0;0,,,,,
,,4,"Экономический. Город отдает приоритет своему рынку, обеспечивая большую площадь, широкие улицы, больше магазинов и жилья.",,0;0;0;2;0;2,,,,,
,,5,Религиозный. В городе есть большие храмы на видных местах.,,0;0;0;0;5;0,,,,,
,,6,Магия. Город сосредоточен на какой-то форме магического преследования. (Свободная локация: Магазин - Волшебный магазин ,,0;0;0;0;0;0,,,,,
,Специализация:,,,farms_and_resources_roll,,,,,,
,0_3_3,1,Мельница,,,,,,,
,,2,Текстильное производство,,,,,,,
,,3,Литейный/плавильный завод,,,,,,,
,1,1,"Ремесло. Город известен тем, что здесь можно найти высококачественные товары ручной работы.",,0,,,,,
,,2,"Земледелие или сбор ресурсов. Город известен ресурсами, которые он производит. Основывайте это на том, в какой среде и климате находится город. Если сельское хозяйство не будет работать, возможно, вместо этого они будут добывать или заготавливать пиломатериалы.",,1,,,,,
,,3,"Промышленность. Этот город известен определенными промышленными процессами, такими как помол, текстиль или плавка. А именно это ",,0,,,,,
,,4,"Уникальные способы доставки. Эти люди знают, как доставлять вещи из одного места в другое необычными или инновационными способами.",,0,,,,,
,,5,"Связи. В этом городе полно людей, которые могут найти и достать почти все (или, может быть, кого угодно).",,0,,,,,
,,6,"Напиток. Город известен широким выбором напитков (или отличного качества), доступных повсюду.",,0,,,,,
,,7,Образование. Город известен как местонахождение широко известного учебного заведения. (Бесплатное местоположение: некоммерческое — место обучения),,0,,,,,
,,8,Гостеприимство. Город известен как гостеприимное и желанное место для проживания.,,0,,,,,
,Возраст:,,,population_density,,,,,,
,1,1,"Недавний. Основанный в прошлом году, город существует недолго. Осведомленность, вероятно, не распространилась за пределы ближайших окрестностей.",,-2,,,,,
,,2,"Учредил. Город существует уже несколько лет. Люди в радиусе нескольких десятков миль, возможно, слышали об этом. Скорее всего, он был добавлен на основные официальные карты.",,-1,,,,,
,,3,"Зрелый. Город существует уже несколько десятилетий и, возможно, приобрел некоторую репутацию в зависимости от его сообщества, местоположения и того, что происходит в городе.",,0,,,,,
,,4,"Старый. Город существует около века или около того. Здесь выросли семьи. Некоторые предприятия выросли, закрылись и были заменены новыми. Функции, вероятно, были добавлены или расширены за пределы. Возможно, он также пережил множество событий, которые могли изменить курс города.",,1,,,,,
,,5,"Древний. Городу сотни лет, а то и больше. Он может все еще процветать или находиться в руинах, оставаясь таким же, как всегда, или, возможно, резко измениться, к лучшему или к худшему.",,2,,,,,
,Размер:,,,population_overflow;size_farms;size_commer,,,size,,,
,1,1-2,"Очень маленький. До нескольких сотен сооружений на площади, способной вместить до 1000 человек.",,2;1;4,,,,,
,,3-6,"Маленький. До 500 стоящих конструкций на площади, способной вместить около 2000 человек.",,1;2;6,,,,,
,,7-14,"Середина. До 1000 стоящих конструкций на площади, способной вместить около 4000 человек.",,0;2;8,,,,,
,,15-18,"Большой. До 1500 стоящих конструкций на площади, способной вместить около 6000 человек.",,-1;3;10,,,,,
,,19-20,"Очень большой. До 2000 стоящих конструкций на площади, способной вместить около 8000 человек.",,-2;3;12,,,,,
,Состояние:,,,population_wealth,,,,,,
,1,1,"Заброшенный. Здания могут рушиться или превращаться в руины. Мусор может выстроится вдоль улиц, которые, если они когда-либо содержались в чистоте, теперь почти неузнаваемы. Все кажется сломанным, грязным или и тем, и другим. Это место может выиграть от полного разрушения и восстановления. Запахи, наверное, мерзкие.",,-6,,,,,
,,2-4,"Паршиво. Вещи в грубой форме. Большинство сооружений кажутся ненадежными или просто находятся в плохом состоянии. Окна, если они есть, могут быть разбиты или заколочены. Стены в пятнах, а улицы в колеях или трещинах. Запахи оскорбляют чувства.",,-3,,,,,
,,5-12,"Умеренный. Структуры кажутся достаточно добротными, хотя, пожалуй, и не привлекательными. Вполне вероятно, что в большинстве домов жильцы остаются сухими. Дороги относительно чистые, если не сказать чистые. Запахи не приятные, но терпимые.",,0,,,,,
,,13-19,"Крепкий. Здания в городе кажутся солидными. Балки, выступающие из стен конструкции, выглядят прочными и износостойкими. Хотя городу, возможно, не хватает настоящей утонченности, он обладает силой и чувством надежности. Дороги обслуживаются, хотя и не зациклены на них, и в основном свободны от мусора и грязи. Это запахи дыма и опилок, кожи и пота.",,3,,,,,
,,20,"Превосходно. Город образцовый во всех отношениях. Здания построены с изысканным мастерством и талантом, не оставляющим сомнений в их качестве. Дороги содержатся в идеальном состоянии, мусора практически нет. Это запахи свежего воздуха и цветов, травы и деревьев или прохладного морского тумана.",,6,,,,,
,Окружающая среда:,,,,,,,,,
,1,1,"Прибрежный. Город находится рядом с большим водоемом, например, озером или океаном.",,,,,,,
,,2,"Лес. Город был основан на территории, очищенной от окружающих деревьев.",,,,,,,
,,3,Mountains. The town is found on a plateaux of a stony pass or soaring peak.,,,,,,,
,,4,"Равнины. Город окружен широкими, открытыми полями.",,,,,,,
,,5,Река. Город находится рядом с постоянно текущим ручьем или другим водотоком или построен вокруг него.,,,,,,,
,,6,Болото. Город находится на обширной территории со стоячей водой или рядом с ней.,,,,,,,
,,7,Под землей. Город находится в обширной сети пещер.,,,,,,,
,,8,Долина. Город находится внутри или на краю области углубленного возвышения по отношению к окружающему ландшафту.,,,,,,,
,,9,Тундра. В городе очень холодно,,,,,,,
,,10,"Пустыня. Город находится в сухой и засушливой местности, вероятно, окружен огромными песчаными дюнами.",,,,,,,
,Процветание:,,,visitor_traffic;population_wealth,,,,,,
,1,1,"Ужасный провал. В городе почти не было бизнеса, или он был очень неудачлив.",,-8;-13,,,,,
,,2-4,Отказ. Город изо всех сил пытался создать значимое богатство или известность.,,-6;-6,,,,,
,,5-10,Слегка успешен. Город достиг умеренной степени успеха и известности.,,-1;-3,,,,,
,,11-16,Успешный. Город функционален и приносит от скромного до хорошего количества монет.,,0;0,,,,,
,,17-19,Очень успешный. Город добился настоящего финансового успеха и привлекает большое количество посетителей.,,2;3,,,,,
,,20,"Невероятно Успешный. Город привлекает огромное количество богатства для своих жителей, и посетители стекаются, чтобы стать его частью.",,6;6,,,,,
,Рыночная площадь:,,,,,market_square,,,,
,1,1-2,Плотно. Места только для нескольких основных торговцев.,,,,,,,
,,3-4,Обильный. Пространство для изрядного количества киосков с продавцами.,,,,,,,
,,5-6,Просторный. Комната для большого количества прилавков с продавцами.,,,,,,,
,Порядок получения торговых мест:,,,,,,,,,
,1,1,"Первый пришел, первым обслужен - без комиссии. Торговцы выстраиваются в очередь перед базарным днем. Тем, кто в начале очереди, даются места. Сборы не взимаются.",,,,,,,
,,2,"Первый пришел, первым обслужен — платно. Торговцы выстраиваются в очередь перед базарным днем. Те, кто стоит в начале очереди, получают право первого выбора свободных мест при условии, что они могут оплатить сбор за день.",,,,,,,
,,3,Арендовать. Торговцы заранее (иногда далеко вперед) платят за право места на рыночной площади.,,,,,,,
,,4,Делать ставку. Перед базарным днем помещения продаются с аукциона.,,,,,,,
,Избыток торговцев:,,,law_enforcement,,,,,,
,1,1,Запрещено. Избыточным продавцам не разрешается устанавливать киоски за пределами города. За этим следят городские стражи.,,1,,,,,
,,2,"Без патруля. Избыточным продавцам разрешено устанавливать прилавки, но, поскольку городская стража не патрулирует и не контролирует эти районы, риск выше. Имеющиеся места неухожены.",,0,,,,,
,,3,"Мониторинг. Избыточным продавцам разрешено устанавливать киоски за пределами торговой площади, а городская стража регулярно патрулирует, но сами районы менее ухожены, а движение меньше.",,0,,,,,
,,4,"Поощряется. Избыточным продавцам рекомендуется устанавливать киоски за пределами города, если они не могут получить место на площади. Есть обслуживаемые площади, доступные для использования и предоставляемые в порядке очереди. Когда эта территория используется торговцами, она регулярно патрулируется, если можно обойтись без сотрудников правоохранительных органов.",,0,,,,,
,Укрепления:,,,disposition,,fortification,,,,
,1,1,"Неукрепленный. Периметр города открыт, что позволяет въехать практически из любой точки.",,-5,,,,,
,,2-8,"Слегка укрепленный. Собственно город окружен легкой стеной из дерева или сложенного камня. Укрепления представляют лишь небольшое неудобство для внешних сил, но они легко сдерживают проникновение диких животных.",,1,,,,,
,,9-15,"Укрепленный. Собственно город окружен солидной стеной из дерева или камня. Стену могут патрулировать охранники на возвышении. Посетители города проходят через главные ворота, которые вечером можно запереть. Вокруг города может быть размещено несколько сторожевых башен, хотя они, скорее всего, единичны.",,3,,,,,
,,16-19,"Сильно укрепленный. Сам город окружен тяжелой стеной из дерева или камня, вдоль которой построено несколько сторожевых башен. Ворота имеют двойную толщину и усилены металлическими лентами. В различных точках окружающей сельской местности построены дополнительные сторожевые башни.",,5,,,,,
,,20,"Чрезвычайно укрепленный. Сам город окружен внушительной стеной из дерева или камня, по всей длине которой через равные промежутки через равные промежутки расположено множество полностью укомплектованных сторожевых башен. Ворота имеют двойную толщину, усилены металлическими полосами, дополнены решеткой и всегда охраняются людьми. Дополнительная стена из дерева или камня окружает окружающую местность со своими сторожевыми башнями. Ничто не входит и не выходит без ведома или разрешения охраны.",,7,,,,,
Общество:,,,,,,,,,,
,Плотность населения:,,,population_overflow;night_activity,,population_density,,,,
,1,1-2,"Скелет. В городе достаточно людей, чтобы функционировать на самом базовом уровне.",,-2;-2,,,,,
,,3-6,"Разреженные. Здесь живут люди, но шумным это никогда не назовешь. Идя по улице, вы, как правило, видите только несколько человек.",,-1;-1,,,,,
,,7-14,"Многолюдный. Здесь проживает умеренное количество людей. Прогуливаясь по улицам, вы увидите много людей, но никогда не бывает так много, чтобы было тесно.",,0;0,,,,,
,,15-18,"Плотный. Здесь проживает большое количество людей. Свободных зданий мало, если они вообще есть. В местах с интенсивным движением обычно есть место для локтя, но не намного.",,1;1,,,,,
,,19-20,"Переполненный. Город заполнен толпами толкающихся людей. Практически все строения заняты. Некоторые могут даже разбить лагерь за городом. Передвижение может быть затруднено, и столкновения с другими людьми типичны в местах с интенсивным движением.",,2;2,,,,,
,Перенаселённость:,,,,,population_overflow,,,,
,1,1,"<10%. Менее десятой части населения города находится за пределами самого города. Обычно это означает, что единственные люди, которые живут за пределами города, - это те, кто делает это по необходимости, из-за выполнения обязанностей (например, владения фермой).",,,,,,,
,,2-4,10%. Десятая часть населения города находится за пределами самого города.,,,,,,,
,,5-12,20%. Пятая часть населения города находится за пределами самого города.,,,,,,,
,,13-17,30%. Треть населения города находится за пределами самого города.,,,,,,,
,,18-19,40%. Чуть менее половины населения города проживает за пределами самого города.,,,,,,,
,,20,50%. Около половины населения города проживает за пределами самого города.,,,,,,,
,Фермы и ресурсы:,,,,,farms_and_resources_roll,,,size_farms,
,1,1-4,Ничего,,,,,,,
,,5-11,"Земледелие [Сельское хозяйство]. На ближайшей гостеприимной земле, находящейся под контролем города, находится группа ферм, обеспечивающих продовольствием.",,,,,,,
,,12-16,"Земледелие [Животноводство]. На ближайших гостеприимных землях, находящихся под контролем города, находится группа ферм, которые занимаются разведением скота.",,,,,,,
,,17-20,"Сбор ресурсов. В зависимости от ландшафта и доступных ресурсов (деревья, минералы, руда, камень и т. д.) поблизости был построен лесозаготовительный лагерь, шахта или карьер, принадлежащий городу, для сбора ресурсов для использования или продажи.",,,,,,,
,Поток гостей:,,,night_activity,,visitor_traffic,,,,
,1,1-3,"В основном местные жители. В любой день обычно есть несколько человек из других городов, но их недостаточно, чтобы повлиять на заторы.",,0,,,,,
,,4-9,"Группы. Как правило, посетителей достаточно. Может немного увеличить заторы.",,1,,,,,
,,10-14,Толпы. Через город регулярно проходит значительное количество людей. Заторы увеличиваются.,,2,,,,,
,,15-17,Водит. В город регулярно приезжают большие группы людей. Загруженность значительно увеличивается.,,3,,,,,
,,18-19,"Массы. Огромные группы людей, кажется, всегда посещают. Заторы могут вызвать трудности, если город не в состоянии справиться с очень большим количеством людей.",,4,,,,,
,,20,"Множество. Огромные группы людей толпятся на улицах, вероятно, выбрасываясь на дороги за пределами города. Заторы — это постоянная реальность и регулярная проблема.",,5,,,,,
,Ночная активность:,,,,,night_activity,,,,
,1,1-2,"Темно. К тому времени, когда солнце садится, улицы почти пустеют, а город закрывается. Все тихо и мирно. Если в городе есть ворота, они закрыты и заперты. Охранники могут пускать внутрь ночных путешественников, а могут и не пускать.",,,,,,,
,,3-6,"Тихо. Все закрыто, кроме постоялых дворов и таверн, которые остаются открытыми до полуночи. Опоздавшим гостям приходилось будить трактирщика, чтобы получить номер. Если в городе есть ворота, они закрыты и заперты. Охранники обычно впускают посетителей, но препятствуют блужданиям.",,,,,,,
,,7-14,"Медленно. Почти все закрыто, кроме таверн, которые могут быть открыты до раннего утра, и гостиниц, которые остаются открытыми постоянно. Если в городе есть ворота, они закрыты, но охранники, как правило, готовы их открыть, если это необходимо.",,,,,,,
,,15-18,"Активный. Гостиницы и таверны остаются открытыми постоянно. Некоторые магазины и услуги могут быть открыты для поздних путешественников или полуночников. Изрядное количество заведений все еще может быть закрыто. Если в городе есть ворота, их держат открытыми, но охраняют, готовые закрыть в случае необходимости.",,,,,,,
,,19-20,"Оживленный. Разница между дневным и ночным движением невелика. На улицах всегда есть люди, и может показаться, что никто никогда не спит. Большинство магазинов и услуг остаются открытыми постоянно. Если в городе есть ворота, они остаются открытыми и закрываются только при самых ужасных обстоятельствах.",,,,,,,
,Демография:,,,,,,,,,
,1,1-4,Только одна. 100% основная раса.,,,,,,,
,,5-8,"Только две. 60% основной расы, 40% вторичной расы.",,,,,,,
,,9-14,"Нормальное распределение. 50% первичная раса, 25% вторичная раса, 15% третичная раса, 10% другие.",,,,,,,
,,15-17,Широкое распределение. 20% первичной расы. Все остальные представлены достаточно хорошо.,,,,,,,
,,18-19,"Высокий и низкий уровень. 80% первичной расы, 20% вторичной расы.",,,,,,,
,,20,Постоянно меняющаяся. Нет четкого распределения. Расовое представительство лишено ощущения численного доминирования.,,,,,,,
,Отношение:,,,,,disposition,,,,
,1,1-2,"Враждебный. Местные жители кажутся очень недружелюбными по отношению к посетителям и, вероятно, заставят приезжих чувствовать себя нежеланными. Это может проявляться как холодность, пассивно-агрессивность или даже насилие.",,,,,,,
